season,episode,scene,line_text,speaker,deleted,sentiment,length
1,1,11,"Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",Michael,FALSE,0.4767,22
1,1,11,Go ahead.,Jan,FALSE,0,2
1,1,11,Packman.,Michel,FALSE,0,1
1,1,11,"Hey, you big queen.",Todd Packer,FALSE,0,4
1,1,11,"Oh, that's not appropriate.",Michael,FALSE,0,4
1,1,11,"Hey, is old Godzillary coming in today?",Todd Packer,FALSE,0,7
1,1,11,"Uh, I don't know what you mean.",Michael,FALSE,0,7
1,1,11,I've been meaning to ask her one question. Does the carpet match the drapes?,Todd Packer,FALSE,0,14
1,1,11,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",Michael,FALSE,-0.8802,9
1,1,11,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,Jan,FALSE,0.2924,20
1,1,11,"No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.",Michael,FALSE,0.1149,16
1,1,12,So what does downsizing actually mean?,Phyllis,FALSE,0,6
1,1,12,Well...,Stanley,FALSE,0,1
1,1,13,You guys better update your resumes just like I'm doing.,Oscar,FALSE,0.6597,10
1,1,14,I bet it's gonna be me. Probably gonna be me.,Angela,FALSE,0,10
1,1,14,"Yeah, it'll be you.",Kevin,FALSE,0.296,4
1,1,15,I have an important question for you.,Pam,FALSE,0.2023,7
1,1,15,Yes?,Jim,FALSE,0.4019,1
1,1,15,Are you going to Angela's cat party on Sunday?,Pam,FALSE,0.4019,9
1,1,15,"Yeah, stop. That is ridiculous.",Jim,FALSE,-0.3612,5
1,1,16,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",Michael,FALSE,-0.765,34
1,1,17,Hey.,Michael,FALSE,0,1
1,1,17,Hey.,Ryan,FALSE,0,1
1,1,17,This is Mr. Scott.,Pam,FALSE,0,4
1,1,17,Guilty! Guilty as charged!,Michael,FALSE,-0.7896,4
1,1,17,Ryan Howard from the temp agency. Daniqua sent me down to start today.,Ryan,FALSE,0,13
1,1,17,"Howard, like Moe Howard. Three Stooges.",Michael,FALSE,0.3612,6
1,1,17,Yup.,Ryan,FALSE,0,1
1,1,17,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I'm Hitler. Adolf Hitler. [Continues with cod German]",Michael,FALSE,0.7177,50
1,1,18,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",Pam,FALSE,0.2551,47
1,1,18,Dunder Mifflin. This is Pam.,Pam,FALSE,0,5
1,1,19,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",Jim,FALSE,0.7184,25
1,1,19,What?,Dwight,FALSE,0,1
1,1,19,What are you doing?,Jim,FALSE,0,4
1,1,19,Just clearing my desk. I can't concentrate.,Dwight,FALSE,0,7
1,1,19,It's not on your desk.,Jim,FALSE,0,5
1,1,19,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",Dwight,FALSE,0,13
1,1,19,You can't do that.,Dwight,FALSE,0,4
1,1,19,Why not?,Jim,FALSE,0,2
1,1,19,Safety violation. I could fall and pierce an organ.,Dwight,FALSE,-0.1027,9
1,1,19,[crosses fingers] We'll see. [Dwight begins smashing pencils with his phone] This is why the whole downsizing thing just doesn't bother me.,Jim,FALSE,0.2584,22
1,1,19,Downsizing?,Dwight,FALSE,0,1
1,1,20,"Downsizing? I have no problem with that. I have been recommending downsizing since I first got here. I even brought it up in my interview. I say, bring it on.",Dwight,FALSE,-0.5994,30
1,1,21,You just still have these messages from yesterday.,Pam,FALSE,0,8
1,1,21,"Relax. Everything's under control. Uh, yeah. Yeah. That's important. Right. Oh this is so important, I should run to answer it. [Imitating Six-Million Dollar Man sound effect]",Michael,FALSE,0.836,27
1,1,21,What?,Pam,FALSE,0,1
1,1,21,"Come on. Six-Million Dollar Man! Steve Austin! Actually, that would be a good salary for me, don't you think? Six million dollars? Memo to Jan. I deserve a raise.",Michael,FALSE,0.5919,29
1,1,21,Don't we all?,Pam,FALSE,0,3
1,1,21,I'm sorry?,Michael,FALSE,-0.0772,2
1,1,21,Nothing.,Pam,FALSE,0,1
1,1,21,"If you're unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]",Michael,FALSE,0.4707,23
1,1,22,"I think I'm a role model here. I think I garner people's respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",Michael,FALSE,0.6597,31
1,1,23,"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",Michael,FALSE,0.8807,45
1,1,24,Now I know there's some rumors out there and I just kind of want to set the record straight.,Michael,FALSE,0.228,19
1,1,24,I'm Assistant Regional Manager. I should know first.,Dwight,FALSE,0,8
1,1,24,Assistant to the Regional Manager.,Michael,FALSE,0,5
1,1,24,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",Dwight,FALSE,0.6801,19
1,1,24,I'm about to tell everybody. I'm just about to tell everybody.,Michael,FALSE,0,11
1,1,24,Can't you just tell us.,Oscar,FALSE,0,5
1,1,24,"Please, OK? Do you want me to tell 'em?",Dwight,FALSE,0.7089,9
1,1,24,You don't know what it is. [Laughs],Michael,FALSE,0,7
1,1,24,OK. You tell 'em. With my permission. Permission granted.,Dwight,FALSE,0.6037,9
1,1,24,I don't need your permission.,Michael,FALSE,0,5
1,1,24,Go ahead.,Dwight,FALSE,0,2
1,1,24,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,Michael,FALSE,0,24
1,1,25,I heard they might be closing this branch down. That's just the rumor going around. This is my first day. I don't really know.,Ryan,FALSE,0,24
1,1,26,"Yeah but Michael, what if they downsize here?",Oscar,FALSE,0.1531,8
1,1,26,Not gonna happen.,Michael,FALSE,0,3
1,1,26,It could be out of your hands Michael.,Stanley,FALSE,0,8
1,1,26,"It won't be out of my hands Stanley, OK. I promise you that.",Michael,FALSE,0.6408,13
1,1,26,Can you promise that?,Stanley,FALSE,0.3182,4
1,1,26,On his mother's grave.,Dwight,FALSE,-0.3818,4
1,1,26,No.,Michael,FALSE,-0.296,1
1,1,26,What?,Phyllis,FALSE,0,1
1,1,26,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",Michael,FALSE,0.3804,20
1,1,26,It's just that we need to know.,Stanley,FALSE,0,7
1,1,26,"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",Michael,FALSE,0,27
1,1,26,I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,Pam,FALSE,-0.1027,21
1,1,26,Are you sure about that?,Man,FALSE,0.3182,5
1,1,26,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",Michael,FALSE,0.6486,13
1,1,26,"Pam, information is power.",Dwight,FALSE,0,4
1,1,26,"You can't say for sure whether it'll be us or them, can you?",Stanley,FALSE,-0.2411,13
1,1,26,"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.",Michael,FALSE,-0.4497,55
1,1,27,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.",Jim,FALSE,-0.1999,32
1,1,28,"Jim said mixed berries? Well, yeah, he's on to me. Um... [Laughs]",Pam,FALSE,0.5106,12
1,1,29,"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",Michael,FALSE,0,16
1,1,29,What's up? Nice to meet you.,Ryan,FALSE,0.4215,6
1,1,29,Introduce yourself. Be polite.,Michael,FALSE,0,4
1,1,29,"Dwight Schrute, Assistant Regional Manager.",Dwight,FALSE,0,5
1,1,29,"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",Michael,FALSE,-0.6908,19
1,1,29,"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand.",Dwight,FALSE,0.7269,19
1,1,29,That's his profit.,Michael,FALSE,0.4404,3
1,1,29,"New engine, new suspension, I got a respray. I've got some photos.",Dwight,FALSE,0,12
1,1,30,Damn it! Jim!,Dwight,FALSE,-0.508,3
1,1,30,"OK. Hold on, hold on. The judge is in session. What is the problem here?",Michael,FALSE,0.0601,15
1,1,30,He put my stuff in Jell-O again.,Dwight,FALSE,0,7
1,1,30,[Laughing],Pam,FALSE,0,1
1,1,30,That's real professional thanks. That's the third time and it wasn't funny the first two times either Jim.,Dwight,FALSE,0.1265,18
1,1,31,"It's OK here, but people sometimes take advantage because it's so relaxed. I'm a volunteer Sheriff's Deputy on the weekends. And you cannot screw around there. That's sort of one of the rules.",Dwight,FALSE,0.8906,33
1,1,32,What is that?,Michael,FALSE,0,3
1,1,32,That is my stapler.,Dwight,FALSE,0,4
1,1,32,"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.",Michael,FALSE,-0.9313,40
1,1,32,"OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?",Dwight,FALSE,0.4466,16
1,1,32,How do you know it was me?,Jim,FALSE,0,7
1,1,32,It's always you. Are you going to discipline him or not?,Dwight,FALSE,0,11
1,1,32,"Discipline. Kinky! [Laughs] All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",Michael,FALSE,0.3382,31
1,1,32,Yeah.,Dwight,FALSE,0.296,1
1,1,32,"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O.",Michael,FALSE,0,15
1,1,32,"OK. Dwight, I'm sorry, because I have always been your biggest flan.",Jim,FALSE,0.3885,12
1,1,32,[Laughing] Nice. That's the way it is around here. It just kind of goes round and round.,Michael,FALSE,0.4215,17
1,1,32,You should've put him in custardy.,Ryan,FALSE,0,6
1,1,32,Hey! Yes! New guy! He scores.,Michael,FALSE,0.5538,6
1,1,32,"OK, that's great. I guess what I'm most concerned with is damage to company property. That's all.",Dwight,FALSE,0.5904,17
1,1,32,Pudding. Pudding... I'm trying to think of another dessert to do.,Michael,FALSE,0,11
1,1,33,Do you like going out at the end of the week for a drink?,Jim,FALSE,0.3612,14
1,1,33,Yeah.,Pam,FALSE,0.296,1
1,1,33,That's why we're all going out. So we can have an end-of-the-week-drink.,Jim,FALSE,0,12
1,1,33,So when are we going out?,Pam,FALSE,0,6
1,1,33,"Tonight, hopefully.",Jim,FALSE,0.4019,2
1,1,33,OK. Yeah.,Pam,FALSE,0.6289,2
1,1,33,"Hey, man.",Roy,FALSE,0,2
1,1,33,What's going on?,Jim,FALSE,0,3
1,1,33,"Hey, baby.",Roy,FALSE,0,2
1,1,33,Hey.,Pam,FALSE,0,1
1,1,34,Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.,Pam,FALSE,0.2144,27
1,1,35,Do you mind if I go out for a drink with these guys?,Pam,FALSE,0,13
1,1,35,"No, no. Come on. Let's get out of here and go home.",Roy,FALSE,-0.5267,12
1,1,35,OK. I'm gonna be a few minutes. So it's only twenty past five. I still have to do my faxes.,Pam,FALSE,0.4466,20
1,1,35,You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,Jim,FALSE,0.8658,39
1,1,35,"It sounds good. Seriously, we've gotta get going.",Roy,FALSE,0.296,8
1,1,35,"Yeah, yeah.",Jim,FALSE,0.5267,2
1,1,35,Um... What's in the bag?,Jim,FALSE,0,5
1,1,35,Just tell her I'll talk to her later.,Roy,FALSE,0,8
1,1,35,"No, definitely. All right, dude. Awesome. Will do.",Jim,FALSE,0.6808,8
1,1,36,Do I think I'll be invited to the wedding? [scratches head],Jim,FALSE,0,11
1,1,37,"So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk'd and all that kind of stuff?",Michael,FALSE,0.9092,70
1,1,37,Yeah.,Ryan,FALSE,0.296,1
1,1,37,"You are gonna be my accomplice. Just go along with it, OK?",Michael,FALSE,0.4466,12
1,1,37,All right.,Ryan,FALSE,0,2
1,1,37,"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...",Michael,FALSE,-0.0572,21
1,1,37,You got a fax.,Pam,FALSE,0,4
1,1,37,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",Michael,FALSE,0.6786,56
1,1,37,What? Why?,Pam,FALSE,0,2
1,1,37,"Why? Well, theft and stealing.",Michael,FALSE,-0.3818,5
1,1,37,Stealing? What am I supposed to have stolen?,Pam,FALSE,-0.8053,8
1,1,37,Post-it Notes.,Michael,FALSE,0,2
1,1,37,"Post-it Notes? What are those worth, 50 cents?",Pam,FALSE,0.3094,8
1,1,37,"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you've made a profit... margin. You're gonna run us out of business, Pam.",Michael,FALSE,-0.25,31
1,1,37,Are you serious?,Pam,FALSE,-0.0772,3
1,1,37,Yeah. I am.,Michael,FALSE,0.296,3
1,1,37,I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.,Pam,FALSE,0.0588,20
1,1,37,But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.,Michael,FALSE,0.4767,32
1,1,37,"[Pam starts crying] You been X'd punk! [Laughing] Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you.",Michael,FALSE,0.9099,58
1,1,37,You're a jerk.,Pam,FALSE,-0.34,3
1,1,37,I don't know about that.,Michael,FALSE,0,5
1,1,38,"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, 'Mr. Scott, would you be the godfather of my child?' Wow. Wow. Didn't work out in the end. We had to let him go. He sucked.",Michael,FALSE,-0.422,97
1,1,39,Hey.,Pam,FALSE,0,1
1,1,39,Hey.,Jim,FALSE,0,1
1,1,39,How are things?,Jim,FALSE,0,3
1,1,39,Good. I thought you were going out for a drink with...,Pam,FALSE,0.4404,11
1,1,39,"Oh no, I just decided not to. How's your headache?",Jim,FALSE,-0.296,10
1,1,39,"It's better, thanks.",Pam,FALSE,0.7003,3
1,1,39,Good. Good.,Jim,FALSE,0.7003,2
1,1,39,Yeah.,Pam,FALSE,0.296,1
1,1,39,That's great,Jim,FALSE,0.6249,2
1,1,39,Is...?,Pam,FALSE,0,1
1,1,39,Yeah?,Jim,FALSE,0.296,1
1,1,39,Um... Are you...,Pam,FALSE,0,3
1,1,39,Am I walking out?,Jim,FALSE,0,4
1,1,39,Yes.,Pam,FALSE,0.4019,1
1,1,39,"Yes, I... Do you want to...",Jim,FALSE,0.4588,6
1,1,39,Yeah.,Pam,FALSE,0.296,1
1,1,39,Great. Let me just...,Jim,FALSE,0.6249,4
1,1,39,"[Car horn honking] Oh, Roy.",Jim,FALSE,0,5
1,1,39,"Yeah. Listen, have a nice weekend.",Pam,FALSE,0.6124,6
1,1,39,"Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.",Jim,FALSE,0.7964,15
1,1,40,"Dwight Schrute. My father's name, also Dwight Schrute. My grandfather's name, Dweide Schrude, Amish. That's my family. I don't know where they came, the Amish, came from originally. Uh, Amland.",Dwight,TRUE,0,30
1,1,40,[holding up a Dundie and pretending it is talking] Hello. I'm Michael Scott. I'm the best boss in the world.,Michael,TRUE,0.6808,20
1,1,40,"My name is Jim Halpert and I am a sales rep, which is a very important job. Um, without me dozens literally dozens of small businesses would go paperless.  They would have to write on their hands, or bed sheets, or who knows you know. Total chaos, total chaos. I mean or they could get their paper somewhere else. Staples maybe. I don't know.",Jim,TRUE,-0.7436,65
1,1,41,"Pam! Pam-Pam! Pam has been with us for...  forever. Right, Pam?",Michael,TRUE,0,12
1,1,41,I guess.,Pam,TRUE,0,2
1,1,41,"Yeah, at one time or another every guy in the office has sprayed on Pam.",Michael,TRUE,0.296,15
1,1,41,What?,Pam,TRUE,0,1
1,1,41,Messages?,Michael,TRUE,0,1
1,1,42,"People respond to the human touch and that's what I give them. I can look at a client and I can say, 'Hello, how are you? How's business been going?' And we can go back and forth for sometime and uh, then I'll say, How much, how many reams do you want?' And they'll order it and then I'll take care of all the sales. I'll make sure that they get that paper. And they appreciate that.",Dwight,TRUE,0.829,77
1,1,43,"Ah, right here. Three Stooges. High five. [Michael and Ryan high five] Oh, Pam. It's a guy thing, Pam. [camera cuts to Pam then back to Michael] Now, who was the one before Curly?",Michael,TRUE,-0.296,34
1,1,43,"Uh, Shemp.",Ryan,TRUE,0,2
1,1,43,Curly? Very good. Curly Joe DeRita.,Michael,TRUE,0.4927,6
1,1,43,Just Curly. Joe DeRita was different.,Ryan,TRUE,0,6
1,1,43,"Well, comedy's kinda my thing. Watch this, here's Curly Joe. Mmm. Me, me, me, me, me, me. Me, me, me, me, me, me. Oh, I forgot. Here we go. [Yelling in cod German] I'm Hitler. Right. [Continues with cod German] Me, me, me, me, me, me. Curly Joe Hitler. [laughs]",Michael,TRUE,0.2732,50
1,1,44,"All these people are walking around and they're happy and their lives are just going along, ignorance is bliss. But if they knew what was lurking on the other side of that fence that furry monster. [imitating monster] 'I'm gonna get you, downsizing.' No. They wouldn't... They'd freak. And I'm not going to play God. They look to me for support. And they look to me for guidance and leadership. And I think if I could lie to them and it serves them, then that's what I'm going to do.",Michael,TRUE,0.8111,90
1,1,45,"So this is our sales staff. They are the ones who are making calls and making us lots of money. [comes to a screeching halt and laughs] This is accounting. The numbers dudes. Do not let the job description fool you, they are all completely crazy. Especially that guy, he is a mental patient. [camera zooms in on Kevin] Not literally of course, that wouldn't work. The last place you'd want somebody like that is accounting. [hides behind office plant] 'Very interesting, but stupid.' Artie Johnson. It's a crazy place.",Michael,TRUE,-0.533,90
1,1,46,"My name is Angela and um, I'm in charge of the accounting department. There are three of us, Kevin and Oscar.",Angela,TRUE,0,21
1,1,46,"It's my job to keep the books in order. And, um, I... I'm, uh, immediately below my supervisor.",Oscar,TRUE,0,18
1,1,46,"Oscar, how do I describe him. He's like a stapler. Do I need a stapler? Yes. But, I'm still the one that has to push it down.",Angela,TRUE,0.6369,27
1,1,46,There's a lot of anxiety. I don't want to get laid off. This place is like five minutes from my house.,Oscar,TRUE,0.1476,21
1,1,46,I don't wanna be laid off. This is a good job for me. 'Cause I need my nights free. I'm in a band.,Kevin,TRUE,0.7351,23
1,1,46,"Not very worried about downsizing right now. Because, uh, I think you've met Kevin and um...",Angela,TRUE,0.2743,16
1,1,46,"Can I just say one thing? Um, my friend is Jewish, Art Geller. And a couple of years ago he, um, showed me how you can plant a tree in Israel, so I planted a tree. So... You know 'cause... Yeah we work in paper. Well, you know, I try to give back.",Oscar,TRUE,0.7579,53
1,1,46,"I have a lot of cat figurines on my desk. I think cats, really, are old souls. And, uh, Phyllis thinks so too.",Angela,TRUE,0,23
1,1,47,"What you don't know... Well, it can hurt you, but if you don't know it won't hurt you. Then, you can just be happy for a little while at least.",Michael,TRUE,-0.2862,30
1,1,48,What's that?,Michael,TRUE,0,2
1,1,48,Wired.,Pam,TRUE,0,1
1,1,48,"Oh, John Belushi. What a crazy guy. Phew, freaked myself out this morning.",Michael,TRUE,-0.5574,13
1,1,48,"Oh, yeah.",Pam,TRUE,0.296,2
1,1,48,"Yeah. I thought I found a lump. I checked the, uh... I check the jewels every month. This time... You know, it's a little different. It was fine. It was fine. But freaky, man, you know. Testicular cancer, God. Cancer, whoa testicles. So... What's, um... What you eating?",Michael,TRUE,-0.5267,48
1,1,48,Smoked turkey.,Pam,TRUE,0,2
1,1,48,"Oh, place around the corner. Nice. All right. See you later.",Michael,TRUE,0.4215,11
1,1,49,Do I need to speak up? [grabs boom microphone] Hello.,Michael,TRUE,0,10
1,1,50,[boom microphone drops into the camera shoot] Can you move it out? Can you move it? Is that all right? Can you make that work?,Documentary Crew Member,TRUE,0,25
1,1,50,That's fine.,Dwight,TRUE,0.2023,2
1,1,50,"[new take] No, you don't even need ... That's fine. We'll keep it...",Documentary Crew Member,TRUE,-0.1027,13
1,1,50,I'm sorry it makes me nervous.,Dwight,TRUE,-0.34,6
1,1,50,"Understood, but it is what we need to capture what you're saying as clearly as possible.",Documentary Crew Member,TRUE,0.5499,16
1,1,50,"I understand. It's in a blind spot because I'm trained in several martial arts and one of them, uh, includes, uh, an awareness that the masters bring, uh, of anything on all sides of you. It could be behind you or whatever. This is directly in a blind spot, so I'm trained to respond negatively to something right above my head. [new take] This now I have an eye on. You see, it's on my periphery and if I needed to block it, attack it, stop it somehow. [does a martial arts move with his hands] I could come right out. I mean, I know you're doing your job, but... Documentary Crew Member: [talking over Dwight] It's...",Dwight,TRUE,-0.9118,117
1,1,50,I'm doing my job.,Dwight,TRUE,0,4
1,1,51,"I think better to be a happy idiot then a, um... Then someone who knows the truth.",Michael,TRUE,0.6808,17
1,2,1,"Hey, uh, can I help you out in here?",Michael,FALSE,0.4019,9
1,2,1,"Oh, I'm all set, thanks.",Mr. Brown,FALSE,0.4404,5
1,2,1,Gotcha. Good. I'd go with the rows. That's a good idea.,Michael,FALSE,0.7003,11
